Date-Time-Start; Date-Time-End; Gebäude 101 Kabel 1 | NoComment | Orginal Power [kW] inkl. Wandlerfaktoren - Korrigierte Power [kW] inkl. Wandlerfaktoren; Verbrauch-Orginal Viertelstündlich[kWh]; Verbrauch Korrigiert Viertelstündlich[kWh]; ErrorCode
2016-01-01 00:00:00; 2016-01-01 00:15:00; 21.568000; 21.568000; 23011.422200; 23011.422200; 0
2016-01-01 00:15:00; 2016-01-01 00:30:00; 21.760000; 21.760000; 23011.489600; 23011.489600; 0
2016-01-01 00:30:00; 2016-01-01 00:45:00; 21.504000; 21.504000; 23011.557600; 23011.557600; 0
2016-01-01 00:45:00; 2016-01-01 01:00:00; 21.696000; 21.696000; 23011.624800; 23011.624800; 0
2016-01-01 01:00:00; 2016-01-01 01:15:00; 21.568000; 21.568000; 23011.692600; 23011.692600; 0
2016-01-01 01:15:00; 2016-01-01 01:30:00; 21.696000; 21.696000; 23011.760000; 23011.760000; 0
2016-01-01 01:30:00; 2016-01-01 01:45:00; 21.760000; 21.760000; 23011.827800; 23011.827800; 0
2016-01-01 01:45:00; 2016-01-01 02:00:00; 21.440000; 21.440000; 23011.895800; 23011.895800; 0
2016-01-01 02:00:00; 2016-01-01 02:15:00; 21.632000; 21.632000; 23011.962800; 23011.962800; 0
2016-01-01 02:15:00; 2016-01-01 02:30:00; 21.568000; 21.568000; 23012.030400; 23012.030400; 0
2016-01-01 02:30:00; 2016-01-01 02:45:00; 21.760000; 21.760000; 23012.097800; 23012.097800; 0
2016-01-01 02:45:00; 2016-01-01 03:00:00; 21.824000; 21.824000; 23012.165800; 23012.165800; 0
2016-01-01 03:00:00; 2016-01-01 03:15:00; 21.440000; 21.440000; 23012.234000; 23012.234000; 0
2016-01-01 03:15:00; 2016-01-01 03:30:00; 21.760000; 21.760000; 23012.301000; 23012.301000; 0
2016-01-01 03:30:00; 2016-01-01 03:45:00; 21.504000; 21.504000; 23012.369000; 23012.369000; 0
2016-01-01 03:45:00; 2016-01-01 04:00:00; 21.504000; 21.504000; 23012.436200; 23012.436200; 0
2016-01-01 04:00:00; 2016-01-01 04:15:00; 21.440000; 21.440000; 23012.503400; 23012.503400; 0
2016-01-01 04:15:00; 2016-01-01 04:30:00; 21.760000; 21.760000; 23012.570400; 23012.570400; 0
2016-01-01 04:30:00; 2016-01-01 04:45:00; 21.632000; 21.632000; 23012.638400; 23012.638400; 0
2016-01-01 04:45:00; 2016-01-01 05:00:00; 21.632000; 21.632000; 23012.706000; 23012.706000; 0
2016-01-01 05:00:00; 2016-01-01 05:15:00; 21.824000; 21.824000; 23012.773600; 23012.773600; 0
2016-01-01 05:15:00; 2016-01-01 05:30:00; 21.632000; 21.632000; 23012.841800; 23012.841800; 0
2016-01-01 05:30:00; 2016-01-01 05:45:00; 21.760000; 21.760000; 23012.909400; 23012.909400; 0
2016-01-01 05:45:00; 2016-01-01 06:00:00; 21.632000; 21.632000; 23012.977400; 23012.977400; 0
2016-01-01 06:00:00; 2016-01-01 06:15:00; 22.272000; 22.272000; 23013.045000; 23013.045000; 0
2016-01-01 06:15:00; 2016-01-01 06:30:00; 25.088000; 25.088000; 23013.114600; 23013.114600; 0
2016-01-01 06:30:00; 2016-01-01 06:45:00; 28.288000; 28.288000; 23013.193000; 23013.193000; 0
2016-01-01 06:45:00; 2016-01-01 07:00:00; 28.224000; 28.224000; 23013.281400; 23013.281400; 0
2016-01-01 07:00:00; 2016-01-01 07:15:00; 28.032000; 28.032000; 23013.369600; 23013.369600; 0
2016-01-01 07:15:00; 2016-01-01 07:30:00; 28.160000; 28.160000; 23013.457200; 23013.457200; 0
2016-01-01 07:30:00; 2016-01-01 07:45:00; 28.288000; 28.288000; 23013.545200; 23013.545200; 0
2016-01-01 07:45:00; 2016-01-01 08:00:00; 28.288000; 28.288000; 23013.633600; 23013.633600; 0
2016-01-01 08:00:00; 2016-01-01 08:15:00; 28.288000; 28.288000; 23013.722000; 23013.722000; 0
2016-01-01 08:15:00; 2016-01-01 08:30:00; 27.968000; 27.968000; 23013.810400; 23013.810400; 0
2016-01-01 08:30:00; 2016-01-01 08:45:00; 28.160000; 28.160000; 23013.897800; 23013.897800; 0
2016-01-01 08:45:00; 2016-01-01 09:00:00; 27.904000; 27.904000; 23013.985800; 23013.985800; 0
2016-01-01 09:00:00; 2016-01-01 09:15:00; 27.776000; 27.776000; 23014.073000; 23014.073000; 0
2016-01-01 09:15:00; 2016-01-01 09:30:00; 27.904000; 27.904000; 23014.159800; 23014.159800; 0
2016-01-01 09:30:00; 2016-01-01 09:45:00; 27.648000; 27.648000; 23014.247000; 23014.247000; 0
2016-01-01 09:45:00; 2016-01-01 10:00:00; 28.096000; 28.096000; 23014.333400; 23014.333400; 0
2016-01-01 10:00:00; 2016-01-01 10:15:00; 27.840000; 27.840000; 23014.421200; 23014.421200; 0
2016-01-01 10:15:00; 2016-01-01 10:30:00; 27.584000; 27.584000; 23014.508200; 23014.508200; 0
2016-01-01 10:30:00; 2016-01-01 10:45:00; 27.904000; 27.904000; 23014.594400; 23014.594400; 0
2016-01-01 10:45:00; 2016-01-01 11:00:00; 27.904000; 27.904000; 23014.681600; 23014.681600; 0
2016-01-01 11:00:00; 2016-01-01 11:15:00; 27.968000; 27.968000; 23014.768800; 23014.768800; 0
2016-01-01 11:15:00; 2016-01-01 11:30:00; 27.584000; 27.584000; 23014.856200; 23014.856200; 0
2016-01-01 11:30:00; 2016-01-01 11:45:00; 27.584000; 27.584000; 23014.942400; 23014.942400; 0
2016-01-01 11:45:00; 2016-01-01 12:00:00; 27.968000; 27.968000; 23015.028600; 23015.028600; 0
2016-01-01 12:00:00; 2016-01-01 12:15:00; 27.648000; 27.648000; 23015.116000; 23015.116000; 0
2016-01-01 12:15:00; 2016-01-01 12:30:00; 27.712000; 27.712000; 23015.202400; 23015.202400; 0
2016-01-01 12:30:00; 2016-01-01 12:45:00; 27.712000; 27.712000; 23015.289000; 23015.289000; 0
2016-01-01 12:45:00; 2016-01-01 13:00:00; 27.712000; 27.712000; 23015.375600; 23015.375600; 0
2016-01-01 13:00:00; 2016-01-01 13:15:00; 27.712000; 27.712000; 23015.462200; 23015.462200; 0
2016-01-01 13:15:00; 2016-01-01 13:30:00; 27.648000; 27.648000; 23015.548800; 23015.548800; 0
2016-01-01 13:30:00; 2016-01-01 13:45:00; 27.968000; 27.968000; 23015.635200; 23015.635200; 0
2016-01-01 13:45:00; 2016-01-01 14:00:00; 27.776000; 27.776000; 23015.722600; 23015.722600; 0
2016-01-01 14:00:00; 2016-01-01 14:15:00; 27.968000; 27.968000; 23015.809400; 23015.809400; 0
2016-01-01 14:15:00; 2016-01-01 14:30:00; 27.712000; 27.712000; 23015.896800; 23015.896800; 0
2016-01-01 14:30:00; 2016-01-01 14:45:00; 27.520000; 27.520000; 23015.983400; 23015.983400; 0
2016-01-01 14:45:00; 2016-01-01 15:00:00; 27.776000; 27.776000; 23016.069400; 23016.069400; 0
2016-01-01 15:00:00; 2016-01-01 15:15:00; 27.712000; 27.712000; 23016.156200; 23016.156200; 0
2016-01-01 15:15:00; 2016-01-01 15:30:00; 27.968000; 27.968000; 23016.242800; 23016.242800; 0
2016-01-01 15:30:00; 2016-01-01 15:45:00; 27.648000; 27.648000; 23016.330200; 23016.330200; 0
2016-01-01 15:45:00; 2016-01-01 16:00:00; 27.584000; 27.584000; 23016.416600; 23016.416600; 0
2016-01-01 16:00:00; 2016-01-01 16:15:00; 27.776000; 27.776000; 23016.502800; 23016.502800; 0
2016-01-01 16:15:00; 2016-01-01 16:30:00; 27.648000; 27.648000; 23016.589600; 23016.589600; 0
2016-01-01 16:30:00; 2016-01-01 16:45:00; 28.096000; 28.096000; 23016.676000; 23016.676000; 0
2016-01-01 16:45:00; 2016-01-01 17:00:00; 28.096000; 28.096000; 23016.763800; 23016.763800; 0
2016-01-01 17:00:00; 2016-01-01 17:15:00; 27.968000; 27.968000; 23016.851600; 23016.851600; 0
2016-01-01 17:15:00; 2016-01-01 17:30:00; 28.032000; 28.032000; 23016.939000; 23016.939000; 0
2016-01-01 17:30:00; 2016-01-01 17:45:00; 28.032000; 28.032000; 23017.026600; 23017.026600; 0
2016-01-01 17:45:00; 2016-01-01 18:00:00; 28.160000; 28.160000; 23017.114200; 23017.114200; 0
2016-01-01 18:00:00; 2016-01-01 18:15:00; 28.160000; 28.160000; 23017.202200; 23017.202200; 0
2016-01-01 18:15:00; 2016-01-01 18:30:00; 26.432000; 26.432000; 23017.290200; 23017.290200; 0
2016-01-01 18:30:00; 2016-01-01 18:45:00; 25.344000; 25.344000; 23017.372800; 23017.372800; 0
2016-01-01 18:45:00; 2016-01-01 19:00:00; 25.280000; 25.280000; 23017.452000; 23017.452000; 0
2016-01-01 19:00:00; 2016-01-01 19:15:00; 24.768000; 24.768000; 23017.531000; 23017.531000; 0
2016-01-01 19:15:00; 2016-01-01 19:30:00; 24.704000; 24.704000; 23017.608400; 23017.608400; 0
2016-01-01 19:30:00; 2016-01-01 19:45:00; 24.768000; 24.768000; 23017.685600; 23017.685600; 0
2016-01-01 19:45:00; 2016-01-01 20:00:00; 24.832000; 24.832000; 23017.763000; 23017.763000; 0
2016-01-01 20:00:00; 2016-01-01 20:15:00; 24.640000; 24.640000; 23017.840600; 23017.840600; 0
2016-01-01 20:15:00; 2016-01-01 20:30:00; 23.232000; 23.232000; 23017.917600; 23017.917600; 0
2016-01-01 20:30:00; 2016-01-01 20:45:00; 21.696000; 21.696000; 23017.990200; 23017.990200; 0
2016-01-01 20:45:00; 2016-01-01 21:00:00; 21.696000; 21.696000; 23018.058000; 23018.058000; 0
2016-01-01 21:00:00; 2016-01-01 21:15:00; 21.568000; 21.568000; 23018.125800; 23018.125800; 0
2016-01-01 21:15:00; 2016-01-01 21:30:00; 21.568000; 21.568000; 23018.193200; 23018.193200; 0
2016-01-01 21:30:00; 2016-01-01 21:45:00; 21.952000; 21.952000; 23018.260600; 23018.260600; 0
2016-01-01 21:45:00; 2016-01-01 22:00:00; 21.696000; 21.696000; 23018.329200; 23018.329200; 0
2016-01-01 22:00:00; 2016-01-01 22:15:00; 21.696000; 21.696000; 23018.397000; 23018.397000; 0
2016-01-01 22:15:00; 2016-01-01 22:30:00; 21.632000; 21.632000; 23018.464800; 23018.464800; 0
2016-01-01 22:30:00; 2016-01-01 22:45:00; 21.632000; 21.632000; 23018.532400; 23018.532400; 0
2016-01-01 22:45:00; 2016-01-01 23:00:00; 21.696000; 21.696000; 23018.600000; 23018.600000; 0
2016-01-01 23:00:00; 2016-01-01 23:15:00; 21.504000; 21.504000; 23018.667800; 23018.667800; 0
2016-01-01 23:15:00; 2016-01-01 23:30:00; 21.760000; 21.760000; 23018.735000; 23018.735000; 0
2016-01-01 23:30:00; 2016-01-01 23:45:00; 21.568000; 21.568000; 23018.803000; 23018.803000; 0
2016-01-01 23:45:00; 2016-01-02 00:00:00; 21.568000; 21.568000; 23018.870400; 23018.870400; 0
2016-01-02 00:00:00; 2016-01-02 00:15:00; 21.568000; 21.568000; 23018.937800; 23018.937800; 0
2016-01-02 00:15:00; 2016-01-02 00:30:00; 21.440000; 21.440000; 23019.005200; 23019.005200; 0
2016-01-02 00:30:00; 2016-01-02 00:45:00; 21.696000; 21.696000; 23019.072200; 23019.072200; 0
2016-01-02 00:45:00; 2016-01-02 01:00:00; 21.568000; 21.568000; 23019.140000; 23019.140000; 0
2016-01-02 01:00:00; 2016-01-02 01:15:00; 21.568000; 21.568000; 23019.207400; 23019.207400; 0
2016-01-02 01:15:00; 2016-01-02 01:30:00; 22.080000; 22.080000; 23019.274800; 23019.274800; 0
2016-01-02 01:30:00; 2016-01-02 01:45:00; 21.696000; 21.696000; 23019.343800; 23019.343800; 0
2016-01-02 01:45:00; 2016-01-02 02:00:00; 21.504000; 21.504000; 23019.411600; 23019.411600; 0
2016-01-02 02:00:00; 2016-01-02 02:15:00; 21.440000; 21.440000; 23019.478800; 23019.478800; 0
2016-01-02 02:15:00; 2016-01-02 02:30:00; 21.504000; 21.504000; 23019.545800; 23019.545800; 0
2016-01-02 02:30:00; 2016-01-02 02:45:00; 21.376000; 21.376000; 23019.613000; 23019.613000; 0
2016-01-02 02:45:00; 2016-01-02 03:00:00; 21.440000; 21.440000; 23019.679800; 23019.679800; 0
2016-01-02 03:00:00; 2016-01-02 03:15:00; 21.632000; 21.632000; 23019.746800; 23019.746800; 0
2016-01-02 03:15:00; 2016-01-02 03:30:00; 21.504000; 21.504000; 23019.814400; 23019.814400; 0
2016-01-02 03:30:00; 2016-01-02 03:45:00; 21.888000; 21.888000; 23019.881600; 23019.881600; 0
2016-01-02 03:45:00; 2016-01-02 04:00:00; 21.440000; 21.440000; 23019.950000; 23019.950000; 0
2016-01-02 04:00:00; 2016-01-02 04:15:00; 21.504000; 21.504000; 23020.017000; 23020.017000; 0
2016-01-02 04:15:00; 2016-01-02 04:30:00; 21.376000; 21.376000; 23020.084200; 23020.084200; 0
2016-01-02 04:30:00; 2016-01-02 04:45:00; 21.376000; 21.376000; 23020.151000; 23020.151000; 0
2016-01-02 04:45:00; 2016-01-02 05:00:00; 21.440000; 21.440000; 23020.217800; 23020.217800; 0
2016-01-02 05:00:00; 2016-01-02 05:15:00; 21.568000; 21.568000; 23020.284800; 23020.284800; 0
2016-01-02 05:15:00; 2016-01-02 05:30:00; 21.760000; 21.760000; 23020.352200; 23020.352200; 0
2016-01-02 05:30:00; 2016-01-02 05:45:00; 21.376000; 21.376000; 23020.420200; 23020.420200; 0
2016-01-02 05:45:00; 2016-01-02 06:00:00; 21.568000; 21.568000; 23020.487000; 23020.487000; 0
2016-01-02 06:00:00; 2016-01-02 06:15:00; 22.336000; 22.336000; 23020.554400; 23020.554400; 0
2016-01-02 06:15:00; 2016-01-02 06:30:00; 24.064000; 24.064000; 23020.624200; 23020.624200; 0
2016-01-02 06:30:00; 2016-01-02 06:45:00; 25.408000; 25.408000; 23020.699400; 23020.699400; 0
2016-01-02 06:45:00; 2016-01-02 07:00:00; 25.408000; 25.408000; 23020.778800; 23020.778800; 0
2016-01-02 07:00:00; 2016-01-02 07:15:00; 26.816000; 26.816000; 23020.858200; 23020.858200; 0
2016-01-02 07:15:00; 2016-01-02 07:30:00; 27.200000; 27.200000; 23020.942000; 23020.942000; 0
2016-01-02 07:30:00; 2016-01-02 07:45:00; 26.880000; 26.880000; 23021.027000; 23021.027000; 0
2016-01-02 07:45:00; 2016-01-02 08:00:00; 27.136000; 27.136000; 23021.111000; 23021.111000; 0
2016-01-02 08:00:00; 2016-01-02 08:15:00; 26.944000; 26.944000; 23021.195800; 23021.195800; 0
2016-01-02 08:15:00; 2016-01-02 08:30:00; 27.008000; 27.008000; 23021.280000; 23021.280000; 0
2016-01-02 08:30:00; 2016-01-02 08:45:00; 27.264000; 27.264000; 23021.364400; 23021.364400; 0
2016-01-02 08:45:00; 2016-01-02 09:00:00; 26.816000; 26.816000; 23021.449600; 23021.449600; 0
2016-01-02 09:00:00; 2016-01-02 09:15:00; 26.816000; 26.816000; 23021.533400; 23021.533400; 0
2016-01-02 09:15:00; 2016-01-02 09:30:00; 26.688000; 26.688000; 23021.617200; 23021.617200; 0
