Date-Time-Start; Date-Time-End; Gebäude 211 Kabel 1-3 | NoComment | Orginal Power [kW] inkl. Wandlerfaktoren - Korrigierte Power [kW] inkl. Wandlerfaktoren; Verbrauch-Orginal Viertelstündlich[kWh]; Verbrauch Korrigiert Viertelstündlich[kWh]; ErrorCode
2016-01-01 00:00:00; 2016-01-01 00:15:00; 5.920000; 5.920000; 12256.699000; 12256.699000; 0
2016-01-01 00:15:00; 2016-01-01 00:30:00; 6.400000; 6.400000; 12256.706400; 12256.706400; 0
2016-01-01 00:30:00; 2016-01-01 00:45:00; 5.920000; 5.920000; 12256.714400; 12256.714400; 0
2016-01-01 00:45:00; 2016-01-01 01:00:00; 6.400000; 6.400000; 12256.721800; 12256.721800; 0
2016-01-01 01:00:00; 2016-01-01 01:15:00; 5.920000; 5.920000; 12256.729800; 12256.729800; 0
2016-01-01 01:15:00; 2016-01-01 01:30:00; 6.080000; 6.080000; 12256.737200; 12256.737200; 0
2016-01-01 01:30:00; 2016-01-01 01:45:00; 5.600000; 5.600000; 12256.744800; 12256.744800; 0
2016-01-01 01:45:00; 2016-01-01 02:00:00; 5.920000; 5.920000; 12256.751800; 12256.751800; 0
2016-01-01 02:00:00; 2016-01-01 02:15:00; 5.760000; 5.760000; 12256.759200; 12256.759200; 0
2016-01-01 02:15:00; 2016-01-01 02:30:00; 5.920000; 5.920000; 12256.766400; 12256.766400; 0
2016-01-01 02:30:00; 2016-01-01 02:45:00; 5.920000; 5.920000; 12256.773800; 12256.773800; 0
2016-01-01 02:45:00; 2016-01-01 03:00:00; 5.760000; 5.760000; 12256.781200; 12256.781200; 0
2016-01-01 03:00:00; 2016-01-01 03:15:00; 5.600000; 5.600000; 12256.788400; 12256.788400; 0
2016-01-01 03:15:00; 2016-01-01 03:30:00; 5.600000; 5.600000; 12256.795400; 12256.795400; 0
2016-01-01 03:30:00; 2016-01-01 03:45:00; 6.080000; 6.080000; 12256.802400; 12256.802400; 0
2016-01-01 03:45:00; 2016-01-01 04:00:00; 5.600000; 5.600000; 12256.810000; 12256.810000; 0
2016-01-01 04:00:00; 2016-01-01 04:15:00; 5.760000; 5.760000; 12256.817000; 12256.817000; 0
2016-01-01 04:15:00; 2016-01-01 04:30:00; 5.440000; 5.440000; 12256.824200; 12256.824200; 0
2016-01-01 04:30:00; 2016-01-01 04:45:00; 5.600000; 5.600000; 12256.831000; 12256.831000; 0
2016-01-01 04:45:00; 2016-01-01 05:00:00; 5.440000; 5.440000; 12256.838000; 12256.838000; 0
2016-01-01 05:00:00; 2016-01-01 05:15:00; 5.600000; 5.600000; 12256.844800; 12256.844800; 0
2016-01-01 05:15:00; 2016-01-01 05:30:00; 5.600000; 5.600000; 12256.851800; 12256.851800; 0
2016-01-01 05:30:00; 2016-01-01 05:45:00; 5.280000; 5.280000; 12256.858800; 12256.858800; 0
2016-01-01 05:45:00; 2016-01-01 06:00:00; 5.440000; 5.440000; 12256.865400; 12256.865400; 0
2016-01-01 06:00:00; 2016-01-01 06:15:00; 6.240000; 6.240000; 12256.872200; 12256.872200; 0
2016-01-01 06:15:00; 2016-01-01 06:30:00; 6.240000; 6.240000; 12256.880000; 12256.880000; 0
