Date-Time-Start; Date-Time-End; Gebäude 255 Pumpe 3 | NoComment | Orginal Power [kW] inkl. Wandlerfaktoren - Korrigierte Power [kW] inkl. Wandlerfaktoren; Verbrauch-Orginal Viertelstündlich[kWh]; Verbrauch Korrigiert Viertelstündlich[kWh]; ErrorCode
2016-01-01 00:00:00; 2016-01-01 00:15:00; 19.008000; 19.008000; 14048.881600; 14048.881600; 0
2016-01-01 00:15:00; 2016-01-01 00:30:00; 18.624000; 18.624000; 14048.941000; 14048.941000; 0
2016-01-01 00:30:00; 2016-01-01 00:45:00; 18.368000; 18.368000; 14048.999200; 14048.999200; 0
2016-01-01 00:45:00; 2016-01-01 01:00:00; 18.304000; 18.304000; 14049.056600; 14049.056600; 0
2016-01-01 01:00:00; 2016-01-01 01:15:00; 18.432000; 18.432000; 14049.113800; 14049.113800; 0
2016-01-01 01:15:00; 2016-01-01 01:30:00; 18.560000; 18.560000; 14049.171400; 14049.171400; 0
2016-01-01 01:30:00; 2016-01-01 01:45:00; 18.496000; 18.496000; 14049.229400; 14049.229400; 0
2016-01-01 01:45:00; 2016-01-01 02:00:00; 18.944000; 18.944000; 14049.287200; 14049.287200; 0
2016-01-01 02:00:00; 2016-01-01 02:15:00; 18.368000; 18.368000; 14049.346400; 14049.346400; 0
2016-01-01 02:15:00; 2016-01-01 02:30:00; 18.752000; 18.752000; 14049.403800; 14049.403800; 0
2016-01-01 02:30:00; 2016-01-01 02:45:00; 18.496000; 18.496000; 14049.462400; 14049.462400; 0
2016-01-01 02:45:00; 2016-01-01 03:00:00; 18.560000; 18.560000; 14049.520200; 14049.520200; 0
2016-01-01 03:00:00; 2016-01-01 03:15:00; 18.560000; 18.560000; 14049.578200; 14049.578200; 0
2016-01-01 03:15:00; 2016-01-01 03:30:00; 18.496000; 18.496000; 14049.636200; 14049.636200; 0
2016-01-01 03:30:00; 2016-01-01 03:45:00; 18.624000; 18.624000; 14049.694000; 14049.694000; 0
2016-01-01 03:45:00; 2016-01-01 04:00:00; 18.496000; 18.496000; 14049.752200; 14049.752200; 0
2016-01-01 04:00:00; 2016-01-01 04:15:00; 19.072000; 19.072000; 14049.810000; 14049.810000; 0
2016-01-01 04:15:00; 2016-01-01 04:30:00; 19.520000; 19.520000; 14049.869600; 14049.869600; 0
2016-01-01 04:30:00; 2016-01-01 04:45:00; 19.584000; 19.584000; 14049.930600; 14049.930600; 0
2016-01-01 04:45:00; 2016-01-01 05:00:00; 19.456000; 19.456000; 14049.991800; 14049.991800; 0
2016-01-01 05:00:00; 2016-01-01 05:15:00; 18.816000; 18.816000; 14050.052600; 14050.052600; 0
2016-01-01 05:15:00; 2016-01-01 05:30:00; 19.008000; 19.008000; 14050.111400; 14050.111400; 0
2016-01-01 05:30:00; 2016-01-01 05:45:00; 19.008000; 19.008000; 14050.170800; 14050.170800; 0
2016-01-01 05:45:00; 2016-01-01 06:00:00; 19.136000; 19.136000; 14050.230200; 14050.230200; 0
2016-01-01 06:00:00; 2016-01-01 06:15:00; 19.456000; 19.456000; 14050.290000; 14050.290000; 0
2016-01-01 06:15:00; 2016-01-01 06:30:00; 19.776000; 19.776000; 14050.350800; 14050.350800; 0
2016-01-01 06:30:00; 2016-01-01 06:45:00; 19.520000; 19.520000; 14050.412600; 14050.412600; 0
2016-01-01 06:45:00; 2016-01-01 07:00:00; 19.520000; 19.520000; 14050.473600; 14050.473600; 0
2016-01-01 07:00:00; 2016-01-01 07:15:00; 19.520000; 19.520000; 14050.534600; 14050.534600; 0
2016-01-01 07:15:00; 2016-01-01 07:30:00; 19.584000; 19.584000; 14050.595600; 14050.595600; 0
2016-01-01 07:30:00; 2016-01-01 07:45:00; 19.520000; 19.520000; 14050.656800; 14050.656800; 0
2016-01-01 07:45:00; 2016-01-01 08:00:00; 19.392000; 19.392000; 14050.717800; 14050.717800; 0
2016-01-01 08:00:00; 2016-01-01 08:15:00; 19.520000; 19.520000; 14050.778400; 14050.778400; 0
2016-01-01 08:15:00; 2016-01-01 08:30:00; 19.456000; 19.456000; 14050.839400; 14050.839400; 0
2016-01-01 08:30:00; 2016-01-01 08:45:00; 19.264000; 19.264000; 14050.900200; 14050.900200; 0
2016-01-01 08:45:00; 2016-01-01 09:00:00; 19.392000; 19.392000; 14050.960400; 14050.960400; 0
2016-01-01 09:00:00; 2016-01-01 09:15:00; 19.328000; 19.328000; 14051.021000; 14051.021000; 0
2016-01-01 09:15:00; 2016-01-01 09:30:00; 19.264000; 19.264000; 14051.081400; 14051.081400; 0
2016-01-01 09:30:00; 2016-01-01 09:45:00; 19.392000; 19.392000; 14051.141600; 14051.141600; 0
2016-01-01 09:45:00; 2016-01-01 10:00:00; 19.072000; 19.072000; 14051.202200; 14051.202200; 0
2016-01-01 10:00:00; 2016-01-01 10:15:00; 18.368000; 18.368000; 14051.261800; 14051.261800; 0
2016-01-01 10:15:00; 2016-01-01 10:30:00; 18.624000; 18.624000; 14051.319200; 14051.319200; 0
2016-01-01 10:30:00; 2016-01-01 10:45:00; 18.368000; 18.368000; 14051.377400; 14051.377400; 0
2016-01-01 10:45:00; 2016-01-01 11:00:00; 18.112000; 18.112000; 14051.434800; 14051.434800; 0
2016-01-01 11:00:00; 2016-01-01 11:15:00; 18.048000; 18.048000; 14051.491400; 14051.491400; 0
2016-01-01 11:15:00; 2016-01-01 11:30:00; 18.112000; 18.112000; 14051.547800; 14051.547800; 0
2016-01-01 11:30:00; 2016-01-01 11:45:00; 17.664000; 17.664000; 14051.604400; 14051.604400; 0
2016-01-01 11:45:00; 2016-01-01 12:00:00; 17.728000; 17.728000; 14051.659600; 14051.659600; 0
2016-01-01 12:00:00; 2016-01-01 12:15:00; 17.152000; 17.152000; 14051.715000; 14051.715000; 0
2016-01-01 12:15:00; 2016-01-01 12:30:00; 16.960000; 16.960000; 14051.768600; 14051.768600; 0
2016-01-01 12:30:00; 2016-01-01 12:45:00; 16.640000; 16.640000; 14051.821600; 14051.821600; 0
2016-01-01 12:45:00; 2016-01-01 13:00:00; 16.704000; 16.704000; 14051.873600; 14051.873600; 0
2016-01-01 13:00:00; 2016-01-01 13:15:00; 16.640000; 16.640000; 14051.925800; 14051.925800; 0
2016-01-01 13:15:00; 2016-01-01 13:30:00; 16.704000; 16.704000; 14051.977800; 14051.977800; 0
2016-01-01 13:30:00; 2016-01-01 13:45:00; 17.024000; 17.024000; 14052.030000; 14052.030000; 0
2016-01-01 13:45:00; 2016-01-01 14:00:00; 16.640000; 16.640000; 14052.083200; 14052.083200; 0
2016-01-01 14:00:00; 2016-01-01 14:15:00; 16.640000; 16.640000; 14052.135200; 14052.135200; 0
2016-01-01 14:15:00; 2016-01-01 14:30:00; 16.576000; 16.576000; 14052.187200; 14052.187200; 0
2016-01-01 14:30:00; 2016-01-01 14:45:00; 16.576000; 16.576000; 14052.239000; 14052.239000; 0
2016-01-01 14:45:00; 2016-01-01 15:00:00; 16.768000; 16.768000; 14052.290800; 14052.290800; 0
2016-01-01 15:00:00; 2016-01-01 15:15:00; 16.512000; 16.512000; 14052.343200; 14052.343200; 0
2016-01-01 15:15:00; 2016-01-01 15:30:00; 16.640000; 16.640000; 14052.394800; 14052.394800; 0
2016-01-01 15:30:00; 2016-01-01 15:45:00; 16.768000; 16.768000; 14052.446800; 14052.446800; 0
2016-01-01 15:45:00; 2016-01-01 16:00:00; 16.896000; 16.896000; 14052.499200; 14052.499200; 0
2016-01-01 16:00:00; 2016-01-01 16:15:00; 17.088000; 17.088000; 14052.552000; 14052.552000; 0
2016-01-01 16:15:00; 2016-01-01 16:30:00; 17.216000; 17.216000; 14052.605400; 14052.605400; 0
2016-01-01 16:30:00; 2016-01-01 16:45:00; 17.152000; 17.152000; 14052.659200; 14052.659200; 0
2016-01-01 16:45:00; 2016-01-01 17:00:00; 17.664000; 17.664000; 14052.712800; 14052.712800; 0
2016-01-01 17:00:00; 2016-01-01 17:15:00; 18.048000; 18.048000; 14052.768000; 14052.768000; 0
2016-01-01 17:15:00; 2016-01-01 17:30:00; 17.920000; 17.920000; 14052.824400; 14052.824400; 0
2016-01-01 17:30:00; 2016-01-01 17:45:00; 18.304000; 18.304000; 14052.880400; 14052.880400; 0
2016-01-01 17:45:00; 2016-01-01 18:00:00; 19.136000; 19.136000; 14052.937600; 14052.937600; 0
2016-01-01 18:00:00; 2016-01-01 18:15:00; 18.560000; 18.560000; 14052.997400; 14052.997400; 0
2016-01-01 18:15:00; 2016-01-01 18:30:00; 19.200000; 19.200000; 14053.055400; 14053.055400; 0
2016-01-01 18:30:00; 2016-01-01 18:45:00; 18.816000; 18.816000; 14053.115400; 14053.115400; 0
2016-01-01 18:45:00; 2016-01-01 19:00:00; 18.880000; 18.880000; 14053.174200; 14053.174200; 0
2016-01-01 19:00:00; 2016-01-01 19:15:00; 18.752000; 18.752000; 14053.233200; 14053.233200; 0
2016-01-01 19:15:00; 2016-01-01 19:30:00; 18.944000; 18.944000; 14053.291800; 14053.291800; 0
2016-01-01 19:30:00; 2016-01-01 19:45:00; 18.816000; 18.816000; 14053.351000; 14053.351000; 0
2016-01-01 19:45:00; 2016-01-01 20:00:00; 18.880000; 18.880000; 14053.409800; 14053.409800; 0
2016-01-01 20:00:00; 2016-01-01 20:15:00; 18.432000; 18.432000; 14053.468800; 14053.468800; 0
2016-01-01 20:15:00; 2016-01-01 20:30:00; 18.752000; 18.752000; 14053.526400; 14053.526400; 0
2016-01-01 20:30:00; 2016-01-01 20:45:00; 18.560000; 18.560000; 14053.585000; 14053.585000; 0
2016-01-01 20:45:00; 2016-01-01 21:00:00; 18.944000; 18.944000; 14053.643000; 14053.643000; 0
2016-01-01 21:00:00; 2016-01-01 21:15:00; 19.072000; 19.072000; 14053.702200; 14053.702200; 0
2016-01-01 21:15:00; 2016-01-01 21:30:00; 18.880000; 18.880000; 14053.761800; 14053.761800; 0
2016-01-01 21:30:00; 2016-01-01 21:45:00; 19.584000; 19.584000; 14053.820800; 14053.820800; 0
2016-01-01 21:45:00; 2016-01-01 22:00:00; 19.648000; 19.648000; 14053.882000; 14053.882000; 0
2016-01-01 22:00:00; 2016-01-01 22:15:00; 19.584000; 19.584000; 14053.943400; 14053.943400; 0
2016-01-01 22:15:00; 2016-01-01 22:30:00; 19.584000; 19.584000; 14054.004600; 14054.004600; 0
2016-01-01 22:30:00; 2016-01-01 22:45:00; 19.328000; 19.328000; 14054.065800; 14054.065800; 0
2016-01-01 22:45:00; 2016-01-01 23:00:00; 19.072000; 19.072000; 14054.126200; 14054.126200; 0
2016-01-01 23:00:00; 2016-01-01 23:15:00; 18.944000; 18.944000; 14054.185800; 14054.185800; 0
2016-01-01 23:15:00; 2016-01-01 23:30:00; 19.136000; 19.136000; 14054.245000; 14054.245000; 0
2016-01-01 23:30:00; 2016-01-01 23:45:00; 19.264000; 19.264000; 14054.304800; 14054.304800; 0
2016-01-01 23:45:00; 2016-01-02 00:00:00; 19.776000; 19.776000; 14054.365000; 14054.365000; 0
2016-01-02 00:00:00; 2016-01-02 00:15:00; 19.712000; 19.712000; 14054.426800; 14054.426800; 0
2016-01-02 00:15:00; 2016-01-02 00:30:00; 20.096000; 20.096000; 14054.488400; 14054.488400; 0
2016-01-02 00:30:00; 2016-01-02 00:45:00; 19.968000; 19.968000; 14054.551200; 14054.551200; 0
2016-01-02 00:45:00; 2016-01-02 01:00:00; 20.032000; 20.032000; 14054.613600; 14054.613600; 0
2016-01-02 01:00:00; 2016-01-02 01:15:00; 19.776000; 19.776000; 14054.676200; 14054.676200; 0
2016-01-02 01:15:00; 2016-01-02 01:30:00; 19.328000; 19.328000; 14054.738000; 14054.738000; 0
2016-01-02 01:30:00; 2016-01-02 01:45:00; 18.752000; 18.752000; 14054.798400; 14054.798400; 0
2016-01-02 01:45:00; 2016-01-02 02:00:00; 18.816000; 18.816000; 14054.857000; 14054.857000; 0
2016-01-02 02:00:00; 2016-01-02 02:15:00; 18.752000; 18.752000; 14054.915800; 14054.915800; 0
2016-01-02 02:15:00; 2016-01-02 02:30:00; 18.944000; 18.944000; 14054.974400; 14054.974400; 0
